"Time (YYYY:MM:DD)","Range (km)"
2018:05:22:17:07:38.000,15571.823651
2018:05:22:17:17:38.000,15486.281528
2018:05:22:17:27:38.000,15395.438608
2018:05:22:17:37:38.000,15299.242649
2018:05:22:17:47:38.000,15197.637644
2018:05:22:17:57:38.000,15090.563631
2018:05:22:18:07:38.000,14977.956496
2018:05:22:18:17:38.000,14859.747753
2018:05:22:18:27:38.000,14735.864305
2018:05:22:18:37:38.000,14606.228181
2018:05:22:18:47:38.000,14470.756247
2018:05:22:18:57:38.000,14329.359890
2018:05:22:19:07:38.000,14181.944674
2018:05:22:19:17:38.000,14028.409955
2018:05:22:19:27:38.000,13868.648467
