"Time (YYYY:MM:DD)","Range (km)"
2008:07:18:22:06:35.000,30075.502566
2008:07:18:22:16:35.000,30018.352839
2008:07:18:22:26:35.000,29959.592342
2008:07:18:22:36:35.000,29899.215629
2008:07:18:22:46:35.000,29837.217071
2008:07:18:22:56:35.000,29773.590853
2008:07:18:23:06:35.000,29708.330971
2008:07:18:23:16:35.000,29641.431229
2008:07:18:23:26:35.000,29572.885233
2008:07:18:23:36:35.000,29502.686393
2008:07:18:23:46:35.000,29430.827913
2008:07:18:23:56:35.000,29357.302789
2008:07:19:00:06:35.000,29282.103807
2008:07:19:00:16:35.000,29205.223537
2008:07:19:00:26:35.000,29126.654328
2008:07:19:00:36:35.000,29046.388306
2008:07:19:00:46:35.000,28964.417365
2008:07:19:00:56:35.000,28880.733173
2008:07:19:01:06:35.000,28795.327136
2008:07:19:01:16:35.000,28708.190436
2008:07:19:01:26:35.000,28619.313998
2008:07:19:01:36:35.000,28528.688488
2008:07:19:01:46:35.000,28436.304311
2008:07:19:01:56:35.000,28342.151603
2008:07:19:02:06:35.000,28246.220221
2008:07:19:02:16:35.000,28148.499743
2008:07:19:02:26:35.000,28048.979455
2008:07:19:02:36:35.000,27947.648346
2008:07:19:02:46:35.000,27844.495098
2008:07:19:02:56:35.000,27739.508083
2008:07:19:03:06:35.000,27632.675348
2008:07:19:03:16:35.000,27523.984612
2008:07:19:03:26:35.000,27413.423253
2008:07:19:03:36:35.000,27300.978298
2008:07:19:03:46:35.000,27186.636427
2008:07:19:03:56:35.000,27070.383921
2008:07:19:04:06:35.000,26952.206707
2008:07:19:04:16:35.000,26832.090313
2008:07:19:04:26:35.000,26710.019863
2008:07:19:04:36:35.000,26585.980062
2008:07:19:04:46:35.000,26459.955190
2008:07:19:04:56:35.000,26331.929081
2008:07:19:05:06:35.000,26201.885115
2008:07:19:05:16:35.000,26069.806200
2008:07:19:05:26:35.000,25935.674756
2008:07:19:05:36:35.000,25799.472701
2008:07:19:05:46:35.000,25661.181433
2008:07:19:05:56:35.000,25520.781813
2008:07:19:06:06:35.000,25378.254145
2008:07:19:06:16:35.000,25233.578171
2008:07:19:06:26:35.000,25086.732999
2008:07:19:06:36:35.000,24937.697158
2008:07:19:06:46:35.000,24786.448524
2008:07:19:06:56:35.000,24632.964310
2008:07:19:07:06:35.000,24477.221041
2008:07:19:07:16:35.000,24319.194530
2008:07:19:07:26:35.000,24158.859847
2008:07:19:07:36:35.000,23996.191292
2008:07:19:07:46:35.000,23831.162366
2008:07:19:07:56:35.000,23663.745739
2008:07:19:08:06:35.000,23493.913213
2008:07:19:08:16:35.000,23321.635692
2008:07:19:08:26:35.000,23146.883156
2008:07:19:08:36:35.000,22969.624564
2008:07:19:08:46:35.000,22789.827901
2008:07:19:08:56:35.000,22607.460075
2008:07:19:09:06:35.000,22422.486887
2008:07:19:09:16:35.000,22234.872978
2008:07:19:09:26:35.000,22044.581785
2008:07:19:09:36:35.000,21851.575479
2008:07:19:09:46:35.000,21655.814911
2008:07:19:09:56:35.000,21457.259551
2008:07:19:10:06:35.000,21255.867420
2008:07:19:10:16:35.000,21051.595027
2008:07:19:10:26:35.000,20844.397310
2008:07:19:10:36:35.000,20634.227487
2008:07:19:10:46:35.000,20421.037084
2008:07:19:10:56:35.000,20204.775775
2008:07:19:11:06:35.000,19985.391308
2008:07:19:11:16:35.000,19762.829408
2008:07:19:11:26:35.000,19537.033670
2008:07:19:11:36:35.000,19307.945452
2008:07:19:11:46:35.000,19075.503756
2008:07:19:11:56:35.000,18839.645102
2008:07:19:12:06:35.000,18600.303421
2008:07:19:12:16:35.000,18357.409823
2008:07:19:12:26:35.000,18110.892584
2008:07:19:12:36:35.000,17860.676893
2008:07:19:12:46:35.000,17606.684718
2008:07:19:12:56:35.000,17348.834618
2008:07:19:13:06:35.000,17087.041567
2008:07:19:13:16:35.000,16821.216751
2008:07:19:13:26:35.000,16551.267395
2008:07:19:13:36:35.000,16277.096449
2008:07:19:13:46:35.000,15998.602514
2008:07:19:13:56:35.000,15715.679520
2008:07:19:14:06:35.000,15428.216525
2008:07:19:14:16:35.000,15136.097484
2008:07:19:14:26:35.000,14839.201031
2008:07:19:14:36:35.000,14537.400301
2008:07:19:14:46:35.000,14230.562638
2008:07:19:14:56:29.189,13921.596764
2008:07:19:20:13:02.828,3608.780684
2008:07:19:20:23:02.000,3973.569174
2008:07:19:20:33:02.000,4390.364908
2008:07:19:20:43:02.000,4834.757538
2008:07:19:20:53:02.000,5291.891792
2008:07:19:21:03:02.000,5752.802205
2008:07:19:21:13:02.000,6212.128940
2008:07:19:21:23:02.000,6666.690492
2008:07:19:21:33:02.000,7114.626899
2008:07:19:21:43:02.000,7554.888002
2008:07:19:21:53:02.000,7986.925013
2008:07:19:22:03:02.000,8410.502120
2008:07:19:22:13:02.000,8825.579182
2008:07:19:22:23:02.000,9232.238081
2008:07:19:22:33:02.000,9630.635530
2008:07:19:22:43:02.000,10020.972828
2008:07:19:22:53:02.000,10403.475891
2008:07:19:23:03:02.000,10778.382522
2008:07:19:23:13:02.000,11145.933967
2008:07:19:23:23:02.000,11506.369628
2008:07:19:23:33:02.000,11859.923433
2008:07:19:23:43:02.000,12206.821856
2008:07:19:23:53:02.000,12547.282652
2008:07:20:00:03:02.000,12881.514204
2008:07:20:00:13:02.000,13209.715413
2008:07:20:00:23:02.000,13532.075546
2008:07:20:00:33:02.000,13848.774567
2008:07:20:00:43:02.000,14159.983419
2008:07:20:00:53:02.000,14465.864399
2008:07:20:01:03:02.000,14766.571550
2008:07:20:01:13:02.000,15062.251192
2008:07:20:01:23:02.000,15353.042189
2008:07:20:01:33:02.000,15639.076477
2008:07:20:01:43:02.000,15920.479443
2008:07:20:01:53:02.000,16197.370314
2008:07:20:02:03:02.000,16469.862525
2008:07:20:02:13:02.000,16738.064043
2008:07:20:02:23:02.000,17002.077788
2008:07:20:02:33:02.000,17262.001800
2008:07:20:02:43:02.000,17517.929621
2008:07:20:02:53:02.000,17769.950535
2008:07:20:03:03:02.000,18018.149826
2008:07:20:03:13:02.000,18262.609004
2008:07:20:03:23:02.000,18503.406029
2008:07:20:03:33:02.000,18740.615488
2008:07:20:03:43:02.000,18974.308871
2008:07:20:03:53:02.000,19204.554621
2008:07:20:04:03:02.000,19431.418384
2008:07:20:04:13:02.000,19654.963138
2008:07:20:04:23:02.000,19875.249340
2008:07:20:04:33:02.000,20092.335058
2008:07:20:04:43:02.000,20306.276096
2008:07:20:04:53:02.000,20517.126113
2008:07:20:05:03:02.000,20724.936731
2008:07:20:05:13:02.000,20929.757618
2008:07:20:05:23:02.000,21131.636661
2008:07:20:05:33:02.000,21330.619942
2008:07:20:05:43:02.000,21526.751899
2008:07:20:05:53:02.000,21720.075384
2008:07:20:06:03:02.000,21910.631742
2008:07:20:06:13:02.000,22098.460875
2008:07:20:06:23:02.000,22283.601316
2008:07:20:06:33:02.000,22466.090281
2008:07:20:06:43:02.000,22645.963737
2008:07:20:06:53:02.000,22823.256451
2008:07:20:07:03:02.000,22998.002045
2008:07:20:07:13:02.000,23170.233028
2008:07:20:07:23:02.000,23339.980906
2008:07:20:07:33:02.000,23507.276130
2008:07:20:07:43:02.000,23672.148203
2008:07:20:07:53:02.000,23834.625701
2008:07:20:08:03:02.000,23994.736311
2008:07:20:08:13:02.000,24152.506868
2008:07:20:08:23:02.000,24307.963384
2008:07:20:08:33:02.000,24461.131084
2008:07:20:08:43:02.000,24612.034434
2008:07:20:08:53:02.000,24760.697170
2008:07:20:09:03:02.000,24907.142325
2008:07:20:09:13:02.000,25051.392254
2008:07:20:09:23:02.000,25193.468659
2008:07:20:09:33:02.000,25333.392600
2008:07:20:09:43:02.000,25471.184569
2008:07:20:09:53:02.000,25606.864431
2008:07:20:10:03:02.000,25740.451499
2008:07:20:10:13:02.000,25871.964540
2008:07:20:10:23:02.000,26001.421790
2008:07:20:10:33:02.000,26128.840975
2008:07:20:10:43:02.000,26254.239327
2008:07:20:10:53:02.000,26377.633597
2008:07:20:11:03:02.000,26499.040075
2008:07:20:11:13:02.000,26618.474601
2008:07:20:11:23:02.000,26735.952578
2008:07:20:11:33:02.000,26851.488991
2008:07:20:11:43:02.000,26965.098413
2008:07:20:11:53:02.000,27076.795020
2008:07:20:12:03:02.000,27186.592604
2008:07:20:12:13:02.000,27294.504572
2008:07:20:12:23:02.000,27400.543996
2008:07:20:12:33:02.000,27504.723567
2008:07:20:12:43:02.000,27607.055642
2008:07:20:12:53:02.000,27707.552241
2008:07:20:13:03:02.000,27806.225061
2008:07:20:13:13:02.000,27903.085484
2008:07:20:13:23:02.000,27998.144581
2008:07:20:13:33:02.000,28091.413123
2008:07:20:13:43:02.000,28182.901590
2008:07:20:13:53:02.000,28272.620174
2008:07:20:14:03:02.000,28360.578791
2008:07:20:14:13:02.000,28446.787083
2008:07:20:14:23:02.000,28531.254430
2008:07:20:14:33:02.000,28613.989950
2008:07:20:14:43:02.000,28695.002510
2008:07:20:14:53:02.000,28774.300729
2008:07:20:15:03:02.000,28851.892977
2008:07:20:15:13:02.000,28927.787410
2008:07:20:15:23:02.000,29001.991929
2008:07:20:15:33:02.000,29074.514218
2008:07:20:15:43:02.000,29145.361740
2008:07:20:15:53:02.000,29214.541739
2008:07:20:16:03:02.000,29282.061245
2008:07:20:16:13:02.000,29347.927084
2008:07:20:16:23:02.000,29412.145873
2008:07:20:16:33:02.000,29474.724029
2008:07:20:16:43:02.000,29535.667775
2008:07:20:16:53:02.000,29594.983137
2008:07:20:17:03:02.000,29652.675952
2008:07:20:17:13:02.000,29708.751870
2008:07:20:17:23:02.000,29763.216360
2008:07:20:17:33:02.000,29816.074706
2008:07:20:17:43:02.000,29867.332018
2008:07:20:17:53:02.000,29916.993229
2008:07:20:18:03:02.000,29965.063101
2008:07:20:18:13:02.000,30011.546220
