"Time (YYYY:MM:DD)","Range (km)"
2018:05:27:21:00:08.000,3859.638700
2018:05:27:21:10:08.000,3880.104013
2018:05:27:21:20:08.000,3921.973078
2018:05:27:21:30:08.000,3983.908525
2018:05:27:21:40:08.000,4064.019407
2018:05:27:21:50:08.000,4160.003457
2018:05:27:22:00:08.000,4269.296113
2018:05:27:22:10:08.000,4389.207191
2018:05:27:22:11:34.987,4407.312072
2018:05:28:03:53:54.325,4407.311113
2018:05:28:04:03:54.000,4286.116890
2018:05:28:04:13:54.000,4175.075305
2018:05:28:04:23:54.000,4076.953605
2018:05:28:04:33:54.000,3994.343816
2018:05:28:04:43:54.000,3929.596922
2018:05:28:04:53:54.000,3884.674535
2018:05:28:05:03:54.000,3861.004123
2018:05:28:05:13:54.000,3859.361052
2018:05:28:05:23:54.000,3879.799916
2018:05:28:05:33:54.000,3921.649580
2018:05:28:05:43:54.000,3983.573006
2018:05:28:05:53:54.000,4063.679198
2018:05:28:06:03:54.000,4159.665512
2018:05:28:06:13:54.000,4268.966773
2018:05:28:06:23:54.000,4388.892047
2018:05:28:06:25:22.478,4407.311145
2018:05:28:12:07:40.508,4407.311721
2018:05:28:12:17:40.000,4286.116063
2018:05:28:12:27:40.000,4175.032689
2018:05:28:12:37:40.000,4076.867977
2018:05:28:12:47:40.000,3994.215063
2018:05:28:12:57:40.000,3929.426226
2018:05:28:13:07:40.000,3884.464477
2018:05:28:13:17:40.000,3860.758681
2018:05:28:13:27:40.000,3859.085471
2018:05:28:13:37:40.000,3879.500448
2018:05:28:13:47:40.000,3921.333130
2018:05:28:13:57:40.000,3983.246744
2018:05:28:14:07:40.000,4063.350186
2018:05:28:14:17:40.000,4159.340397
2018:05:28:14:27:40.000,4268.651573
2018:05:28:14:37:40.000,4388.592021
2018:05:28:14:39:09.901,4407.311370
2018:05:28:20:21:26.631,4407.311179
2018:05:28:20:31:26.000,4286.103092
2018:05:28:20:41:26.000,4174.979528
2018:05:28:20:51:26.000,4076.773697
2018:05:28:21:01:26.000,3994.079818
2018:05:28:21:11:26.000,3929.251414
2018:05:28:21:21:26.000,3884.252835
2018:05:28:21:31:26.000,3860.514269
2018:05:28:21:41:26.000,3858.813528
2018:05:28:21:51:26.000,3879.207133
2018:05:28:22:01:26.000,3921.025174
2018:05:28:22:11:26.000,3982.931075
2018:05:28:22:21:26.000,4063.033573
2018:05:28:22:31:26.000,4159.029164
2018:05:28:22:41:26.000,4268.351399
2018:05:28:22:51:26.000,4388.307828
2018:05:28:22:52:57.249,4407.311925
2018:05:29:04:35:12.693,4407.311125
2018:05:29:04:45:12.000,4286.079070
2018:05:29:04:55:12.000,4174.917054
2018:05:29:05:05:12.000,4076.672117
2018:05:29:05:15:12.000,3993.939528
2018:05:29:05:25:12.000,3929.074007
2018:05:29:05:35:12.000,3884.041173
2018:05:29:05:45:12.000,3860.272456
2018:05:29:05:55:12.000,3858.546763
2018:05:29:06:05:12.000,3878.921447
2018:05:29:06:15:12.000,3920.727095
2018:05:29:06:25:12.000,3982.627261
2018:05:29:06:35:12.000,4062.730479
2018:05:29:06:45:12.000,4158.732775
2018:05:29:06:55:12.000,4268.067044
