"Time (YYYY:MM:DD)","Range (km)"
2018:06:22:13:04:47.000,3232.174865
2018:06:22:14:04:47.000,3162.538585
2018:06:22:15:04:47.000,4283.039494
2018:06:22:15:10:20.384,4407.312026
2018:06:22:20:12:27.528,4407.312096
2018:06:22:21:12:27.000,3232.101570
2018:06:22:22:12:27.000,3162.601741
2018:06:22:23:12:27.000,4283.162490
2018:06:22:23:18:00.049,4407.310587
2018:06:23:04:20:07.189,4407.312001
2018:06:23:05:20:07.000,3232.025157
2018:06:23:06:20:07.000,3162.667596
2018:06:23:07:20:07.000,4283.290693
2018:06:23:07:25:39.708,4407.312074
2018:06:23:12:27:46.836,4407.312106
2018:06:23:13:27:46.000,3232.169754
2018:06:23:14:27:46.000,3162.544128
2018:06:23:15:27:46.000,4283.052000
2018:06:23:15:33:19.349,4407.311982
2018:06:23:20:35:26.472,4407.310589
2018:06:23:21:35:26.000,3232.087080
2018:06:23:22:35:26.000,3162.615331
2018:06:23:23:35:26.000,4283.190569
2018:06:23:23:40:58.977,4407.312067
2018:06:24:04:43:06.088,4407.312062
2018:06:24:05:43:06.000,3232.001360
2018:06:24:06:43:06.000,3162.689165
2018:06:24:07:43:06.000,4283.334188
2018:06:24:07:48:38.587,4407.310663
2018:06:24:12:50:45.694,4407.311981
2018:06:24:13:50:45.000,3232.136804
2018:06:24:14:50:45.000,3162.573509
2018:06:24:15:50:45.000,4283.110596
2018:06:24:15:56:18.192,4407.312106
2018:06:24:20:58:25.287,4407.311943
2018:06:24:21:58:25.000,3232.045243
2018:06:24:22:58:25.000,3162.652314
2018:06:24:23:58:25.000,4283.263813
2018:06:25:00:03:57.780,4407.312005
2018:06:25:05:06:04.867,4407.312106
2018:06:25:06:06:04.000,3232.175106
2018:06:25:07:06:04.000,3162.541434
2018:06:25:08:06:04.000,4283.049395
2018:06:25:08:11:37.356,4407.312099
2018:06:25:13:13:44.436,4407.312022
2018:06:25:14:13:44.000,3232.078232
2018:06:25:15:13:44.000,3162.624746
2018:06:25:16:13:44.000,4283.211296
2018:06:25:16:19:16.919,4407.311470
2018:06:25:21:21:23.994,4407.312106
2018:06:25:22:21:23.000,3232.203115
2018:06:25:23:21:23.000,3162.518109
2018:06:26:00:21:23.000,4283.005020
2018:06:26:00:26:56.475,4407.312106
2018:06:26:05:29:03.545,4407.310999
2018:06:26:06:29:03.000,3232.101593
2018:06:26:07:29:03.000,3162.605354
