"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:17:12:14:27.172,2008:07:17:12:14:38.824,11.652
2008:07:19:18:47:02.628,2008:07:19:18:47:25.029,22.401
2008:07:19:19:26:28.399,2008:07:19:19:26:39.664,11.265
2008:07:22:01:59:48.459,2008:07:22:02:00:09.874,21.415
2008:07:22:02:38:27.846,2008:07:22:02:38:38.774,10.928
2008:07:24:09:12:29.260,2008:07:24:09:12:49.777,20.518
2008:07:24:09:50:25.420,2008:07:24:09:50:36.057,10.636
2008:07:26:16:25:05.045,2008:07:26:16:25:24.744,19.699
2008:07:26:17:02:21.118,2008:07:26:17:02:31.502,10.384
2008:07:28:23:37:36.140,2008:07:28:23:37:55.088,18.949
2008:07:29:00:14:15.072,2008:07:29:00:14:25.236,10.165
2008:07:31:06:50:03.222,2008:07:31:06:50:21.467,18.244
2008:07:31:07:26:07.616,2008:07:31:07:26:17.586,9.970
2008:08:02:14:02:27.191,2008:08:02:14:02:44.769,17.578
2008:08:02:14:37:59.217,2008:08:02:14:38:09.012,9.795
2008:08:04:21:14:48.906,2008:08:04:21:15:05.850,16.945
2008:08:04:21:49:50.346,2008:08:04:21:49:59.982,9.636
2008:08:07:04:27:08.941,2008:08:07:04:27:25.279,16.337
2008:08:07:05:01:41.335,2008:08:07:05:01:50.827,9.492
2008:08:09:11:39:27.576,2008:08:09:11:39:43.337,15.760
2008:08:09:12:13:32.371,2008:08:09:12:13:41.738,9.366
2008:08:11:18:51:44.866,2008:08:11:18:52:00.075,15.209
2008:08:11:19:25:23.518,2008:08:11:19:25:32.778,9.260
2008:08:14:02:04:00.728,2008:08:14:02:04:15.424,14.697
2008:08:14:02:37:14.758,2008:08:14:02:37:23.931,9.173
2008:08:16:09:16:14.991,2008:08:16:09:16:29.207,14.216
2008:08:16:09:49:05.992,2008:08:16:09:49:15.100,9.109
2008:08:16:20:52:25.722,2008:08:16:22:41:29.049,6543.327
2008:08:17:00:39:18.990,2008:08:17:02:23:02.537,6223.547
2008:08:18:16:28:27.383,2008:08:18:16:28:41.157,13.774
2008:08:18:17:00:57.063,2008:08:18:17:01:06.130,9.067
2008:08:20:23:40:37.620,2008:08:20:23:40:50.995,13.374
2008:08:21:00:12:47.766,2008:08:21:00:12:56.812,9.046
2008:08:23:06:52:45.483,2008:08:23:06:52:58.493,13.011
2008:08:23:07:24:37.918,2008:08:23:07:24:46.963,9.045
2008:08:25:14:04:50.936,2008:08:25:14:05:03.609,12.673
2008:08:25:14:36:27.441,2008:08:25:14:36:36.500,9.059
2008:08:27:21:16:54.184,2008:08:27:21:17:06.544,12.360
2008:08:27:21:48:16.421,2008:08:27:21:48:25.504,9.084
2008:08:30:04:28:55.640,2008:08:30:04:29:07.708,12.068
2008:08:30:05:00:05.112,2008:08:30:05:00:14.230,9.118
2008:09:01:11:40:55.830,2008:09:01:11:41:07.616,11.786
2008:09:01:12:11:53.876,2008:09:01:12:12:03.036,9.159
2008:09:03:18:52:55.204,2008:09:03:18:53:06.721,11.517
2008:09:03:19:23:43.063,2008:09:03:19:23:52.271,9.207
2008:09:06:02:04:54.079,2008:09:06:02:05:05.329,11.250
2008:09:06:02:35:32.939,2008:09:06:02:35:42.204,9.266
2008:09:08:09:16:52.604,2008:09:08:09:17:03.608,11.004
2008:09:08:09:47:23.658,2008:09:08:09:47:32.994,9.336
2008:09:10:16:28:50.824,2008:09:10:16:29:01.594,10.770
2008:09:10:16:59:15.308,2008:09:10:16:59:24.729,9.421
2008:09:12:23:40:48.681,2008:09:12:23:40:59.232,10.551
2008:09:13:00:11:07.881,2008:09:13:00:11:17.404,9.524
2008:09:15:06:52:46.017,2008:09:15:06:52:56.374,10.358
2008:09:15:07:23:01.262,2008:09:15:07:23:10.908,9.646
2008:09:17:14:04:42.579,2008:09:17:14:04:52.762,10.183
2008:09:17:14:34:55.244,2008:09:17:14:35:05.033,9.788
2008:09:19:21:16:38.093,2008:09:19:21:16:48.125,10.032
2008:09:19:21:46:49.543,2008:09:19:21:46:59.493,9.950
2008:09:22:04:28:32.371,2008:09:22:04:28:42.267,9.896
2008:09:22:04:58:43.941,2008:09:22:04:58:54.072,10.131
2008:09:24:11:40:25.397,2008:09:24:11:40:35.172,9.776
