"Time (YYYY:MM:DD)","Range (km)"
2018:05:23:18:29:41.000,3316.990281
2018:05:23:18:39:41.000,3402.900503
2018:05:23:18:49:41.000,3518.735919
2018:05:23:18:59:41.000,3659.886957
2018:05:23:19:09:41.000,3821.407893
2018:05:23:19:19:41.000,3998.389800
2018:05:23:19:29:41.000,4186.201488
2018:05:23:19:39:41.000,4380.615146
2018:05:23:19:41:02.478,4407.312086
2018:05:24:00:53:28.059,4407.310637
2018:05:24:01:03:28.000,4212.312552
2018:05:24:01:13:28.000,4023.355330
2018:05:24:01:23:28.000,3844.626769
2018:05:24:01:33:28.000,3680.708646
2018:05:24:01:43:28.000,3536.483799
2018:05:24:01:53:28.000,3416.912470
2018:05:24:02:03:28.000,3326.676995
2018:05:24:02:13:28.000,3269.713209
2018:05:24:02:23:28.000,3248.707587
2018:05:24:02:33:28.000,3264.693528
2018:05:24:02:43:28.000,3316.882549
2018:05:24:02:53:28.000,3402.793773
2018:05:24:03:03:28.000,3518.632763
2018:05:24:03:13:28.000,3659.789494
2018:05:24:03:23:28.000,3821.317758
2018:05:24:03:33:28.000,3998.308167
2018:05:24:03:43:28.000,4186.129143
2018:05:24:03:53:28.000,4380.552557
2018:05:24:03:54:49.661,4407.310746
2018:05:24:09:07:15.037,4407.312076
2018:05:24:09:17:15.000,4212.294805
2018:05:24:09:27:15.000,4023.324863
2018:05:24:09:37:15.000,3844.582946
2018:05:24:09:47:15.000,3680.651132
2018:05:24:09:57:15.000,3536.412690
2018:05:24:10:07:15.000,3416.828426
2018:05:24:10:17:15.000,3326.581355
2018:05:24:10:27:15.000,3269.608023
2018:05:24:10:37:15.000,3248.595535
2018:05:24:10:47:15.000,3264.577713
2018:05:24:10:57:15.000,3316.766203
2018:05:24:11:07:15.000,3402.679956
2018:05:24:11:17:15.000,3518.524132
2018:05:24:11:27:15.000,3659.688182
2018:05:24:11:37:15.000,3821.225349
2018:05:24:11:47:15.000,3998.225750
2018:05:24:11:57:15.000,4186.057385
2018:05:24:12:07:15.000,4380.491796
2018:05:24:12:08:36.844,4407.311746
2018:05:24:17:21:01.993,4407.311911
2018:05:24:17:31:01.000,4212.588561
2018:05:24:17:41:01.000,4023.591615
2018:05:24:17:51:01.000,3844.814877
2018:05:24:18:01:01.000,3680.840147
2018:05:24:18:11:01.000,3536.550820
2018:05:24:18:21:01.000,3416.908446
2018:05:24:18:31:01.000,3326.597587
2018:05:24:18:41:01.000,3269.557190
2018:05:24:18:51:01.000,3248.477455
2018:05:24:19:01:01.000,3264.395565
2018:05:24:19:11:01.000,3316.526240
2018:05:24:19:21:01.000,3402.390738
2018:05:24:19:31:01.000,3518.195523
2018:05:24:19:41:01.000,3659.330389
2018:05:24:19:51:01.000,3820.848189
2018:05:24:20:01:01.000,3997.838205
2018:05:24:20:11:01.000,4185.667403
2018:05:24:20:21:01.000,4380.106252
2018:05:24:20:22:24.017,4407.312063
2018:05:25:01:34:48.925,4407.310923
2018:05:25:01:44:48.000,4212.551399
2018:05:25:01:54:48.000,4023.540159
2018:05:25:02:04:48.000,3844.748761
2018:05:25:02:14:48.000,3680.759392
2018:05:25:02:24:48.000,3536.455968
2018:05:25:02:34:48.000,3416.800699
2018:05:25:02:44:48.000,3326.478897
2018:05:25:02:54:48.000,3269.430261
2018:05:25:03:04:48.000,3248.345602
2018:05:25:03:14:48.000,3264.262445
2018:05:25:03:24:48.000,3316.395505
2018:05:25:03:34:48.000,3402.265706
2018:05:25:03:44:48.000,3518.078944
2018:05:25:03:54:48.000,3659.224346
2018:05:25:04:04:48.000,3820.754114
2018:05:25:04:14:48.000,3997.756958
2018:05:25:04:24:48.000,4185.599383
2018:05:25:04:34:48.000,4380.051507
2018:05:25:04:36:11.174,4407.310559
2018:05:25:09:48:35.821,4407.312097
2018:05:25:09:58:35.000,4212.504291
2018:05:25:10:08:35.000,4023.478134
2018:05:25:10:18:35.000,3844.671607
2018:05:25:10:28:35.000,3680.667320
2018:05:25:10:38:35.000,3536.349754
2018:05:25:10:48:35.000,3416.681819
2018:05:25:10:58:35.000,3326.349607
2018:05:25:11:08:35.000,3269.293574
2018:05:25:11:18:35.000,3248.205125
2018:05:25:11:28:35.000,3264.122077
2018:05:25:11:38:35.000,3316.259067
2018:05:25:11:48:35.000,3402.136602
2018:05:25:11:58:35.000,3517.959931
2018:05:25:12:08:35.000,3659.117449
2018:05:25:12:18:35.000,3820.660656
2018:05:25:12:28:35.000,3997.677661
2018:05:25:12:38:35.000,4185.534494
2018:05:25:12:48:35.000,4380.000916
2018:05:25:12:49:58.325,4407.311384
2018:05:25:18:02:22.693,4407.312040
2018:05:25:18:12:22.000,4212.447169
2018:05:25:18:22:22.000,4023.405586
2018:05:25:18:32:22.000,3844.583583
2018:05:25:18:42:22.000,3680.564230
2018:05:25:18:52:22.000,3536.232615
2018:05:25:19:02:22.000,3416.552379
2018:05:25:19:12:22.000,3326.210417
2018:05:25:19:22:22.000,3269.147946
2018:05:25:19:32:22.000,3248.056938
2018:05:25:19:42:22.000,3263.975447
2018:05:25:19:52:22.000,3316.117958
2018:05:25:20:02:22.000,3402.004472
2018:05:25:20:12:22.000,3517.839518
2018:05:25:20:22:22.000,3659.010696
2018:05:25:20:32:22.000,3820.568759
2018:05:25:20:42:22.000,3997.601193
2018:05:25:20:52:22.000,4185.473538
2018:05:25:21:02:22.000,4379.955197
2018:05:25:21:03:45.460,4407.312044
2018:05:26:02:16:09.538,4407.311308
2018:05:26:02:26:09.000,4212.380028
2018:05:26:02:36:09.000,4023.322626
2018:05:26:02:46:09.000,3844.484923
2018:05:26:02:56:09.000,3680.450488
2018:05:26:03:06:09.000,3536.105049
2018:05:26:03:16:09.000,3416.413010
2018:05:26:03:26:09.000,3326.062085
2018:05:26:03:36:09.000,3268.994245
2018:05:26:03:46:09.000,3247.901997
2018:05:26:03:56:09.000,3263.823573
2018:05:26:04:06:09.000,3315.973224
2018:05:26:04:16:09.000,3401.870370
2018:05:26:04:26:09.000,3517.718736
2018:05:26:04:36:09.000,3658.905073
2018:05:26:04:46:09.000,3820.479350
2018:05:26:04:56:09.000,3997.528404
2018:05:26:05:06:09.000,4185.417281
2018:05:26:05:16:09.000,4379.915026
2018:05:26:05:17:32.576,4407.312101
2018:05:26:10:29:56.354,4407.310549
2018:05:26:10:39:56.000,4212.302924
2018:05:26:10:49:56.000,4023.229426
2018:05:26:10:59:56.000,3844.375925
2018:05:26:11:09:56.000,3680.326523
2018:05:26:11:19:56.000,3535.967617
2018:05:26:11:29:56.000,3416.264400
2018:05:26:11:39:56.000,3325.905416
2018:05:26:11:49:56.000,3268.833378
2018:05:26:11:59:56.000,3247.741288
2018:05:26:12:09:56.000,3263.667492
2018:05:26:12:19:56.000,3315.825929
2018:05:26:12:29:56.000,3401.735350
2018:05:26:12:39:56.000,3517.598610
2018:05:26:12:49:56.000,3658.801553
2018:05:26:12:59:56.000,3820.393331
2018:05:26:13:09:56.000,3997.460117
2018:05:26:13:19:56.000,4185.366457
2018:05:26:13:29:56.000,4379.881042
2018:05:26:13:31:19.669,4407.311001
2018:05:26:18:43:43.134,4407.312059
2018:05:26:18:53:43.000,4212.215975
2018:05:26:19:03:43.000,4023.126222
2018:05:26:19:13:43.000,3844.256950
2018:05:26:19:23:43.000,3680.192822
2018:05:26:19:33:43.000,3535.820935
2018:05:26:19:43:43.000,3416.107288
2018:05:26:19:53:43.000,3325.741261
2018:05:26:20:03:43.000,3268.666290
2018:05:26:20:13:43.000,3247.575827
2018:05:26:20:23:43.000,3263.508263
2018:05:26:20:33:43.000,3315.677142
2018:05:26:20:43:43.000,3401.600465
2018:05:26:20:53:43.000,3517.480151
2018:05:26:21:03:43.000,3658.701085
2018:05:26:21:13:43.000,3820.311575
2018:05:26:21:23:43.000,3997.397116
2018:05:26:21:33:43.000,4185.321755
2018:05:26:21:43:43.000,4379.853839
2018:05:26:21:45:06.748,4407.312034
2018:05:27:02:57:29.891,4407.311696
2018:05:27:03:07:29.000,4212.440684
2018:05:27:03:17:29.000,4023.321204
2018:05:27:03:27:29.000,3844.415566
2018:05:27:03:37:29.000,3680.308394
2018:05:27:03:47:29.000,3535.887159
2018:05:27:03:57:29.000,3416.118808
2018:05:27:04:07:29.000,3325.694380
2018:05:27:04:17:29.000,3268.559679
